superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	open	insdc_open	published
Testudines, Cryptodira	Chelydridae	Macrochelys suwanniensis	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Testudines, Cryptodira	Dermatemydidae	Dermatemys mawii	in_progress			Chordata	VGP	VGP	VGP	VGP			
Testudines, Cryptodira	Dermochelyidae	Dermochelys coriacea	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Testudines, Cryptodira	Emydidae	Emys orbicularis	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Testudines, Cryptodira	Emydidae	Malaclemys terrapin		VGP		Chordata	VGP						
		Malaclemys terrapin				Chordata	VGP						
Testudines, Cryptodira	Geoemydidae	Geoemyda japonica	in_progress			Chordata	VGP	VGP	VGP	VGP			
Testudines, Cryptodira	Kinosternidae	Sternotherus odoratus	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Testudines, Cryptodira	Platysternidae	Platysternon megacephalum				Chordata	VGP						
Testudines, Cryptodira	Testudinidae	Gopherus evgoodei	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Testudines, Cryptodira	Testudinidae	Gopherus flavomarginatus		VGP		Chordata	VGP						
		Gopherus flavomarginatus				Chordata	VGP						
Testudines, Cryptodira	Trionychidae	Apalone spinifera	in_progress			Chordata	VGP	VGP	VGP	VGP			
Testudines, Pleurodira	Chelidae	Mesoclemmys tuberculata	in_progress			Chordata	VGP	VGP	VGP	VGP			
Testudines, Pleurodira	Pelomedusidae	Pelusios castaneus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Testudines, Pleurodira	Podocnemididae	Podocnemis expansa	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Serpentes (Boidae)	Candoia aspera	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Squamata	Serpentes (Pythonidae)	Liasis olivaceus		VGP		Chordata	VGP						
Squamata	Serpentes (Elapidae/Crotalinae/Viperidae)	Vipera latastei	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Squamata	Serpentes (Viperidae)	Vipera ursinii		ERGA		Chordata	VGP						
Squamata	Serpentes (Viperidae)	Erythrolamprus reginae				Chordata	VGP						
Squamata	Serpentes (Colubridae)	Thamnophis elegans	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Squamata	Serpentes (Anomalepidae)	Typhlophis squamosus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Iguania (Polychrotidae ???)	Anolis sagrei	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Iguania (Chamaeleoninae)	Chamaeleo chamaeleon				Chordata	VGP						
Squamata	Iguania (Iguanidae)	Cyclura pinguis	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Squamata	Anguimorpha (Xenosuaridae)	Anguis anguis				Chordata	VGP						
Squamata	Anguimorpha (Shinisaudridae)	Elgaria multicarinata	open	CCGP		Chordata	VGP	VGP	VGP	VGP	VGP		
