Family	Genus	Species	Status	2020	lowest_priority	2021	2022	sample_collected	other_priority	family_representative	long_list
Plagiochilaceae	Plagiochila	asplenioides	dtol			yes		DTOL			DTOL
Plagiochilaceae	Plagiochila	bifaria	dtol								DTOL
Plagiochilaceae	Plagiochila	britannica	dtol								DTOL
Plagiochilaceae	Plagiochila	carringtonii	dtol_other_priority				yes	DTOL	DTOL		DTOL
Plagiochilaceae	Plagiochila	exigua	dtol								DTOL
Plagiochilaceae	Plagiochila	heterophylla	dtol								DTOL
Plagiochilaceae	Plagiochila	porelloides	dtol_family_representative	yes				DTOL		DTOL	DTOL
Plagiochilaceae	Plagiochila	punctata	dtol								DTOL
Plagiochilaceae	Plagiochila	spinulosa	dtol			yes		DTOL			DTOL
Pleuroziaceae	Pleurozia	purpurea	dtol_family_representative			yes		DTOL		DTOL	DTOL
Porellaceae	Porella	arboris-vitae	dtol_other_priority			yes		DTOL	DTOL		DTOL
Porellaceae	Porella	cordaeana	dtol_family_representative	yes				DTOL		DTOL	DTOL
Porellaceae	Porella	obtusata	dtol								DTOL
Porellaceae	Porella	pinnata	dtol								DTOL
Porellaceae	Porella	platyphylla	dtol								DTOL
Ptilidiaceae	Ptilidium	ciliare	dtol_family_representative	yes				DTOL		DTOL	DTOL
Ptilidiaceae	Ptilidium	pulcherrimum	dtol_other_priority						DTOL		DTOL
Radulaceae	Radula	aquilegia	dtol								DTOL
Radulaceae	Radula	carringtonii	dtol								DTOL
Radulaceae	Radula	complanata	dtol_family_representative	yes				DTOL		DTOL	DTOL
Radulaceae	Radula	holtii	dtol								DTOL
Radulaceae	Radula	lindenbergiana	dtol_other_priority						DTOL		DTOL
Radulaceae	Radula	voluta	dtol								DTOL
Ricciaceae	Riccia	beyrichiana	dtol			yes		DTOL			DTOL
Ricciaceae	Riccia	bifurca	dtol								DTOL
Ricciaceae	Riccia	canaliculata	dtol								DTOL
Ricciaceae	Riccia	cavernosa	dtol								DTOL
Ricciaceae	Riccia	crozalsii	dtol								DTOL
Ricciaceae	Riccia	crystallina	dtol								DTOL
Ricciaceae	Riccia	fluitans	dtol_other_priority						DTOL		DTOL
Ricciaceae	Riccia	glauca	dtol								DTOL
Ricciaceae	Riccia	huebeneriana	dtol								DTOL
Ricciaceae	Riccia	nigrella	dtol								DTOL
Ricciaceae	Riccia	rhenana	dtol								DTOL
Ricciaceae	Riccia	sorocarpa	dtol_family_representative							DTOL	DTOL
Ricciaceae	Riccia	subbifurca	dtol								DTOL
Ricciaceae	Ricciocarpos	natans	dtol								DTOL
Saccogynaceae	Saccogyna	viticulosa	dtol_family_representative				yes	DTOL		DTOL	DTOL
Scapaniaceae	Diplophyllum	albicans	dtol	yes				DTOL			DTOL
Scapaniaceae	Diplophyllum	obtusifolium	dtol								DTOL
Scapaniaceae	Diplophyllum	taxifolium	dtol								DTOL
Scapaniaceae	Douinia	ovata	dtol			yes		DTOL			DTOL
Scapaniaceae	Saccobasis	polita	dtol								DTOL
Scapaniaceae	Scapania	aequiloba	dtol								DTOL
Scapaniaceae	Scapania	aspera	dtol								DTOL
Scapaniaceae	Scapania	calcicola	dtol								DTOL
Scapaniaceae	Scapania	compacta	dtol				yes	DTOL			DTOL
Scapaniaceae	Scapania	curta	dtol								DTOL
Scapaniaceae	Scapania	cuspiduligera	dtol								DTOL
Scapaniaceae	Scapania	degenii	dtol								DTOL
Scapaniaceae	Scapania	gracilis	dtol			yes		DTOL			DTOL
Scapaniaceae	Scapania	gymnostomophila	dtol								DTOL
Scapaniaceae	Scapania	irrigua	dtol			yes		DTOL			DTOL
Scapaniaceae	Scapania	lingulata	dtol								DTOL
Scapaniaceae	Scapania	nemorea	dtol								DTOL
Scapaniaceae	Scapania	nimbosa	dtol_other_priority						DTOL		DTOL
Scapaniaceae	Scapania	ornithopodioides	dtol_family_representative			yes		DTOL		DTOL	DTOL
Scapaniaceae	Scapania	paludicola	dtol								DTOL
Scapaniaceae	Scapania	paludosa	dtol								DTOL
Scapaniaceae	Scapania	parvifolia	dtol								DTOL
Scapaniaceae	Scapania	praetervisa	dtol								DTOL
Scapaniaceae	Scapania	scandica	dtol								DTOL
Scapaniaceae	Scapania	subalpina	dtol								DTOL
Scapaniaceae	Scapania	uliginosa	dtol								DTOL
Scapaniaceae	Scapania	umbrosa	dtol			yes		DTOL			DTOL
Scapaniaceae	Scapania	undulata	dtol				yes	DTOL			DTOL
Scapaniaceae	Schistochilopsis	incisa	dtol								DTOL
Scapaniaceae	Schistochilopsis	opacifolia	dtol								DTOL
Solenostomataceae	Solenostoma	confertissimum	dtol								DTOL
Solenostomataceae	Solenostoma	gracillimum	dtol								DTOL
Solenostomataceae	Solenostoma	hyalinum	dtol								DTOL
Solenostomataceae	Solenostoma	obovatum	dtol_family_representative							DTOL	DTOL
Solenostomataceae	Solenostoma	paroicum	dtol_other_priority				yes	DTOL	DTOL		DTOL
Solenostomataceae	Solenostoma	sphaerocarpum	dtol								DTOL
Solenostomataceae	Solenostoma	subellipticum	dtol								DTOL
Southbyaceae	Gongylanthus	ericetorum	dtol_family_representative							DTOL	DTOL
Southbyaceae	Southbya	nigrella	dtol								DTOL
Southbyaceae	Southbya	tophacea	dtol								DTOL
Sphaerocarpaceae	Sphaerocarpos	europaeus	dtol_family_representative							DTOL	DTOL
Sphaerocarpaceae	Sphaerocarpos	michelii	dtol_other_priority						DTOL		DTOL
Targioniaceae	Targionia	hypophylla	dtol_family_representative							DTOL	DTOL
Trichocoleaceae	Trichocolea	tomentella	dtol_family_representative							DTOL	DTOL
