ECHabs92	phylum	scientific_name	comment
ECHabs92_Annex_IVa	Mollusca	Caseolus sphaerula	
ECHabs92_Annex_IVa	Mollusca	Chilostoma banaticum	
ECHabs92_Annex_IVa	Mollusca	Discula leacockiana	
ECHabs92_Annex_IVa	Mollusca	Discula tabellata	
ECHabs92_Annex_IVa	Mollusca	Discula testudinalis	
ECHabs92_Annex_IVa	Mollusca	Discula turricula	
ECHabs92_Annex_IVa	Mollusca	Discus defloratus	
ECHabs92_Annex_IVa	Mollusca	Discus guerinianus	
ECHabs92_Annex_IVa	Mollusca	Elona quimperiana	
ECHabs92_Annex_IVa	Mollusca	Geomalacus maculosus	
ECHabs92_Annex_IVa	Mollusca	Geomitra moniziana	
ECHabs92_Annex_IVa	Mollusca	Gibbula nivosa	
ECHabs92_Annex_IVa	Mollusca	Hygromia kovacsi	
ECHabs92_Annex_IVa	Mollusca	Idiomela subplicata	Helix
ECHabs92_Annex_IVa	Mollusca	Lampedusa imitatrix	
ECHabs92_Annex_IVa	Mollusca	Lampedusa melitensis	
ECHabs92_Annex_IVa	Mollusca	Leiostyla abbreviata	
ECHabs92_Annex_IVa	Mollusca	Leiostyla cassida	
ECHabs92_Annex_IVa	Mollusca	Leiostyla corneocostata	
ECHabs92_Annex_IVa	Mollusca	Leiostyla gibba	
ECHabs92_Annex_IVa	Mollusca	Leiostyla lamellosa	
ECHabs92_Annex_IVa	Mollusca	Paladilhia hungarica	
ECHabs92_Annex_IVa	Mollusca	Patella ferruginea	
ECHabs92_Annex_IVa	Mollusca	Sadleriana pannonica	
ECHabs92_Annex_IVa	Mollusca	Theodoxus prevostianus	
ECHabs92_Annex_IVa	Mollusca	Theodoxus transversalis	
ECHabs92_Annex_IVa	Mollusca	Lithophaga lithophaga	
ECHabs92_Annex_IVa	Mollusca	Pinna nobilis	
ECHabs92_Annex_IVa	Mollusca	Margaritifera auricularia	
ECHabs92_Annex_IVa	Mollusca	Unio crassus	
ECHabs92_Annex_IVa	Mollusca	Congeria kusceri	
ECHabs92_Annex_IVa	Echinodermata	Centrostephanus longispinus	
