taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	Chromosome_number	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
1965296	Meloidogyne africana	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	21		0			apomixis	Janssen T, Karssen G, Topalović O, Coyne D, Bert W. Integrative taxonomy of root-knot nematodes reveals multiple independent origins of mitotic parthenogenesis. PLoS One. 2017;12: e0172190. doi:10.1371/journal.pone.0172190	
6304	Meloidogyne arenaria	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36		0			automixis	Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499.                                                                                                                                                                               	30, 35, 40, 50, 51, 53, 54
59747	Meloidogyne chitwoodi	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	14		0			automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina  Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272.                                                                                                                                                                      State University; 1985.                                                                                     	28
1154578	Meloidogyne cruciani	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	42		0			apomixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
390850	Meloidogyne enterolobii	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	44		0			apomixis	Rammah A, Hirschmann H: Meloidogyne mayaguensis n. sp. (Meloidogynidae), a Root-knot Nematode from Puerto Rico. J Nematol 1988, 20:58–69. Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	46
186942	Meloidogyne exigua	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18		0			automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
298350	Meloidogyne floridensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18		0			automixis	Handoo ZA, Nyczepir AP, Esmenjaud D, van der Beek JG, Castagnone-Sereno P, Carta LK, Skantar AM, Higgins JA: Morphological, Molecular, and Differential-Host Characterization of Meloidogyne floridensis n. sp. (Nematoda: Meloidogynidae), a Root-Knot Nematode Parasitizing Peach in Florida. J Nematol 2004, 36:20–35.	9; automixis
189291	Meloidogyne graminicola	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18		0			automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.      Triantaphyllou J Nem 2 26-32                                                                               	
299423	Meloidogyne graminis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18		0			automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
6305	Meloidogyne hapla	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	34	2	68			automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	13, 26, 28, 30 (M. hapla A); 31, 32, 43, 45 (M hapla B)
