"Infra Class","Order","Family","Common name","Species","Synonym*","2n","Estimated_haploid_2n/2","Reference"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Otus scops","","76","38","Xiaozhuang and Qingwei 1989;  Rebholz et al. 1993"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Ptilopsis leucotis","Otus leucotis","70","35","Belterman and De Boer 1984"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Pulsatrix perspicillata","","76","38","Takagi and Sasaki 1974; Rebholz et al. 1993"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Strix aluco","","82","41","Hammar 1970; Les Christidis 1990"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Strix hylophila","","80","40","Rebholz et al. 1993"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Strix leptogrammica","","82","41","Sasaki et al. 1981; Rebholz et al. 1993"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Strix nebulosa","","80","40","Shields 1982; Rebholz et al. 1993"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Strix woodfordii","Ciccaba woodfordii","82","41","Belterman and De Boer 1984"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Surnia ulula","","66","33","Schmutz and Moker 1991"
"NEOGNATHAE","STRIGIFORMES","Tytonidae","Barn Owls","Phodilus badius","","90","45","Belterman and De Boer 1984"
"NEOGNATHAE","STRIGIFORMES","Tytonidae","","Tyto alba","","92","46","Renzoni and VegnI-Talluri 1966; Hassan 1998"
"NEOGNATHAE","STRIGIFORMES","Tytonidae","","Tyto capensis","","50","25","Bian et al. 1991"
"NEOGNATHAE","CAPRIMULGIFORMES","Caprimulgidae","Nightjars","Antrostomus rufus","Caprimulgus rufus","78","39","Nieto and Gunski 1998"
"NEOGNATHAE","CAPRIMULGIFORMES","Caprimulgidae","","Caprimulgus aegyptius","","70","35","Bulatova et al. 1971"
"NEOGNATHAE","CAPRIMULGIFORMES","Caprimulgidae","","Caprimulgus indicus","","76","38","Xiaozhuang and Qingwei 1989"
"NEOGNATHAE","CAPRIMULGIFORMES","Caprimulgidae","","Chordeiles pusillus","","68","34","Nieto and Gunski 1998"
"NEOGNATHAE","CAPRIMULGIFORMES","Caprimulgidae","","Hydropsalis torquata","Hydropsalis brasiliana","74","37","Nieto and Gunski 1998; Souza et al. 2020"
"NEOGNATHAE","CAPRIMULGIFORMES","Caprimulgidae","","Lurocalis semitorquatus","","82","41","Francisco et al. 2006"
"NEOGNATHAE","CAPRIMULGIFORMES","Caprimulgidae","","Nyctidromus albicollis","","78","39","De Lucca and Waldrigues 1986"
"NEOGNATHAE","CAPRIMULGIFORMES","Nyctibiidae","Potoos","Nyctibius griseus","","86","43","Nieto et al. 2012; Souza et al. 2020"
"NEOGNATHAE","CAPRIMULGIFORMES","Podargidae","Frogmouths","Podargus strigoides","","78","39","Belterman and De Boer 1984; Les Christidis 1990"
"NEOGNATHAE","APODIFORMES","Apodidae","Swifts","Apus affinis","","70","35","Yadav et al. 1995"
"NEOGNATHAE","APODIFORMES","Apodidae","","Apus apus","","78","39","Malinovskaya et al. 2018"
"NEOGNATHAE","APODIFORMES","Apodidae","","Apus pacificus","","62","31","Xiaozhuang and Qingwei 1989"
"NEOGNATHAE","APODIFORMES","Apodidae","","Hirundapus caudacutus","","64","32","Xiaozhuang and Qingwei 1989"
"NEOGNATHAE","APODIFORMES","Apodidae","","Streptoprocne zonaris","","66","33","Ribeiro et al. 2003"
"NEOGNATHAE","APODIFORMES","Trochilidae","Hummingbirds","Amazilia lactea","","82","41","Les Christidis 1990"
"NEOGNATHAE","APODIFORMES","Trochilidae","","Anthracothorax nigricollis","","80","40","Degrandi et al. 2020"
"NEOGNATHAE","APODIFORMES","Trochilidae","","Calypte anna","","74","37","Be�ak et al. 1973;"
"NEOGNATHAE","APODIFORMES","Trochilidae","","Campylopterus largipennis","","78","39","Degrandi et al. 2020"
"NEOGNATHAE","APODIFORMES","Trochilidae","","Colibri serrirostris","","82","41","Les Christidis 1990"
"NEOGNATHAE","APODIFORMES","Trochilidae","","Hylocharis chrysura","","78","39","Degrandi et al. 2020"
"NEOGNATHAE","TROGONIFORMES","Trogonidae","Trogons","Harpactes erythrocephalus","","76","38","Bian et al. 1991"
"NEOGNATHAE","TROGONIFORMES","Trogonidae","","Trogon surrucura","","82","41","Degrandi et al. 2017"
"NEOGNATHAE","CORACIIFORMES","Alcedinidae","Kingfishers","Alcedo atthis","","132","66","Xiaozhuang and Qingwei 1989"
"NEOGNATHAE","CORACIIFORMES","Alcedinidae","","Ceryle rudis","","82","41","Bhunya and Das 1991; Chen et al. 2002; Garg and Shrivastava 2013g"
