taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7591410	Cliona schmidtii (Ridley, 1881)	7591410	Cliona schmidtii (Ridley, 1881)	2	SPECIES	ACCEPTED	Animalia	1	Porifera	105	Demospongiae	199	Clionaida	7431046	Clionaidae	2251555	Cliona	7464943	Cliona schmidtii	7591410	NE
8268260	Carpenteria utricularis (Carter, 1876)	8268260	Carpenteria utricularis (Carter, 1876)	12	SPECIES	ACCEPTED	Chromista	4	Foraminifera	8376456	Globothalamea	7434778	Rotaliida	7692889	Victoriellidae	8104014	Carpenteria	8262891	Carpenteria utricularis	8268260	NE
9315025	Triceratium parallum Christian, 1888	9315025	Triceratium parallum Christian, 1888	1	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Triceratiales	1151	Triceratiaceae	3306	Triceratium	3191777	Triceratium parallum	9315025	NE
5970135	Palicus bahamensis Rathbun, 1897	5970135	Palicus bahamensis Rathbun, 1897	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Palicidae	11227742	Palicus	2221560	Palicus bahamensis	5970135	NE
7670587	Textularia trochus d'Orbigny, 1840	9456733	Marssonella trochus (d'Orbigny, 1840)	1	SPECIES	SYNONYM	Chromista	4	Foraminifera	8376456	Globothalamea	7434778	Textulariida	7878880	Eggerellidae	4381051	Marssonella	4905978	Marssonella trochus	9456733	NE
8398472	Siphonina primitiva Hofker, 1956	8398472	Siphonina primitiva Hofker, 1956	1	SPECIES	ACCEPTED	Chromista	4	Foraminifera	8376456	Globothalamea	7434778	Rotaliida	7692889	Siphoninidae	7936703	Siphonina	7564912	Siphonina primitiva	8398472	NE
9701185	Salmonella enterica	9701185	Salmonella enterica	33	SPECIES	ACCEPTED	Bacteria	3	Proteobacteria	111	Gammaproteobacteria	362	Enterobacterales	10801383	Enterobacteriaceae	4899	Salmonella	3221815	Salmonella enterica	9701185	NE
11013902	Chiton sanguineus Deshayes, 1863	2306793	Callochiton deshayesi Thiele, 1909	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Polyplacophora	346	Callochitonida	11136089	Callochitonidae	4370333	Callochiton	2306761	Callochiton deshayesi	2306793	NE
2276919	Ophiura falcifera (Lyman, 1869)	2276919	Ophiura falcifera (Lyman, 1869)	4	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Ophiuroidea	350			Ophiuridae	3218	Ophiura	2277142	Ophiura falcifera	2276919	NE
2293465	Puncturella trifolium Dall, 1881	6515545	Altrix trifolium (Dall, 1881)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Lepetellida	9799313	Fissurellidae	6810	Altrix	3245180	Altrix trifolium	6515545	NE
5198470	Eunice denticulata Webster, 1884	5198470	Eunice denticulata Webster, 1884	2	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Eunicida	865	Eunicidae	2049	Eunice	2315411	Eunice denticulata	5198470	NE
6458055	Eupagurus problematicus A.Milne-Edwards & Bouvier, 1893	2224319	Tomopaguropsis problematica (A.Milne-Edwards & Bouvier, 1893)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Paguridae	4531	Tomopaguropsis	2224318	Tomopaguropsis problematica	2224319	NE
6487143	Exochella tropica Winston & Woollacott, 2009	6487143	Exochella tropica Winston & Woollacott, 2009	1	SPECIES	ACCEPTED	Animalia	1	Bryozoa	53	Gymnolaemata	252	Cheilostomatida	467	Exochellidae	5811	Exochella	1005711	Exochella tropica	6487143	NE
8138389	Triceratium blanditum Greville, 1861	8138389	Triceratium blanditum Greville, 1861	1	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Triceratiales	1151	Triceratiaceae	3306	Triceratium	3191777	Triceratium blanditum	8138389	NE
8829834	Aulacodiscus umbonatus	8829834	Aulacodiscus umbonatus	3	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Coscinodiscales	1098	Aulacodiscaceae	7147	Aulacodiscus	3191646	Aulacodiscus umbonatus	8829834	NE
2275095	Ophiacantha pentacrinus Lütken, 1869	2275095	Ophiacantha pentacrinus Lütken, 1869	10	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Ophiuroidea	350	Ophiacanthida	9659424	Ophiacanthidae	3222	Ophiacantha	2275033	Ophiacantha pentacrinus	2275095	NE
2293317	Calliostoma barbouri Clench & Aguayo, 1946	2293317	Calliostoma barbouri Clench & Aguayo, 1946	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Trochida	9715180	Calliostomatidae	6811	Calliostoma	2293294	Calliostoma barbouri	2293317	NE
2515130	Puccinia heliconiae (Dietel) Arthur	2515130	Puccinia heliconiae (Dietel) Arthur	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Pucciniomycetes	270	Pucciniales	1126	Pucciniaceae	3251	Puccinia	9533895	Puccinia heliconiae	2515130	NE
5183034	Acanthella vaceleti van Soest & Stentoft, 1988	5183034	Acanthella vaceleti van Soest & Stentoft, 1988	3	SPECIES	ACCEPTED	Animalia	1	Porifera	105	Demospongiae	199	Bubarida	8189981	Dictyonellidae	8130	Acanthella	2242925	Acanthella vaceleti	5183034	NE
