"taxonID","parentNameUsageID","acceptedNameUsageID","datasetID","scientificName","scientificNameAuthorship","taxonRank","taxonConceptID","taxonomicStatus","nomenclaturalStatus","genus","family","order","class","phylum","kingdom","long_list"
"NHMSYS0020784839","NHMSYS0020824874","","UKSI","Diphascon (Diphascon) oculatum","Murray, 1906","Species","NBNORG0000104387","accepted","","Diphascon","Hypsibiidae","Parachela","Eutardigrada","Tardigrada","Animalia","DTOL"
"NHMSYS0020784951","NHMSYS0020930014","","UKSI","Australoplana alba","(Dendy, 1891)","Species","NBNORG0000104396","accepted","","Australoplana","Geoplanidae","Tricladida","Rhabditophora","Platyhelminthes","Animalia","DTOL"
"NHMSYS0020787099","NHMSYS0000923526","","UKSI","Euscorpius (Euscorpius) carpathicus","(Linnaeus, 1767)","Species","NBNORG0000104500","accepted","","Euscorpius","Euscorpiidae","Scorpiones","Arachnida","Arthropoda","Animalia","DTOL"
"NHMSYS0020788956","NHMSYS0000530536","","UKSI","Passer euchlorus","(Bonaparte, 1850)","Species","NBNORG0000104659","accepted","","Passer","Passeridae","Passeriformes","Aves","Chordata","Animalia","DTOL"
"NHMSYS0020789049","NHMSYS0020930332","","UKSI","Paludipasser locustella","Neave, 1909","Species","NBNORG0000104747","accepted","","Paludipasser","Estrildidae","Passeriformes","Aves","Chordata","Animalia","DTOL"
"NHMSYS0020789056","NHMSYS0000530560","","UKSI","Pheucticus chrysopeplus","(Vigors, 1832)","Species","NBNORG0000104754","accepted","","Pheucticus","Cardinalidae","Passeriformes","Aves","Chordata","Animalia","DTOL"
"NHMSYS0020823776","NHMSYS0000463301","","UKSI","Scilla sardensis","(Whittall ex Barr) Speta","Species","NBNORG0000105218","accepted","","Scilla","Asparagaceae","Asparagales","Magnoliopsida","Tracheophyta","Plantae","DTOL"
"NHMSYS0020824854","NHMSYS0000545896","","UKSI","Ceratophyllus (Ceratophyllus) farreni","Rothschild, 1905","Species","NBNORG0000105279","accepted","","Ceratophyllus","Ceratophyllidae","Siphonaptera","Insecta","Arthropoda","Animalia","DTOL"
"NHMSYS0020824856","NHMSYS0000545896","","UKSI","Ceratophyllus (Ceratophyllus) rossittensis","Dampf, 1913","Species","NBNORG0000105281","accepted","","Ceratophyllus","Ceratophyllidae","Siphonaptera","Insecta","Arthropoda","Animalia","DTOL"
"NHMSYS0020824857","NHMSYS0000545896","","UKSI","Ceratophyllus (Ceratophyllus) styx","Rothschild, 1900","Species","NBNORG0000105282","accepted","","Ceratophyllus","Ceratophyllidae","Siphonaptera","Insecta","Arthropoda","Animalia","DTOL"
