	Species_name	Subspecies	Common Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
4732	Icterus pyrrhopterus		Variable Oriole	Icteridae		nan	nan	nan	nan	nan	B10K		
4741	Idiopsar dorsalis		Red-backed Sierra Finch	Thraupidae		nan	nan	nan	nan	nan	B10K		
4742	Idiopsar erythronotus		White-throated Sierra Finch	Thraupidae		nan	nan	nan	nan	nan	B10K		
4761	Incaspiza laeta		Buff-bridled Inca Finch	Thraupidae		nan	nan	nan	nan	nan	B10K		
4765	Incaspiza watkinsi		Little Inca Finch	Thraupidae		nan	nan	nan	nan	nan	B10K		
4773	Indicator pumilio		Dwarf Honeyguide	Indicatoridae		nan	nan	nan	nan	nan	B10K		
4813	Ixobrychus novaezelandiae		New Zealand Bittern	Ardeidae		nan	nan	nan	nan	nan	B10K		
4825	Jacamerops aureus	aureus	Great Jacamar	Galbulidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4838	Kempiella griseoceps		Yellow-legged Robin	Petroicidae		nan	nan	nan	nan	nan	B10K		
4847	Kieneria kieneri		Rusty-crowned Ground Sparrow	Passerellidae		nan	nan	nan	nan	nan	B10K		
4849	Kittacincla luzoniensis	luzoniensis	White-browed Shama	Muscicapidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
4860	Knipolegus orenocensis	xinguensis	Riverside Tyrant	Tyrannidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
4883	Lagopus leucura	peninsularis	White-tailed Ptarmigan	Phasianidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
4887	Lalage aurea		Rufous-bellied Triller	Campephagidae		nan	nan	nan	nan	nan	B10K		
4888	Lalage fimbriata		Lesser Cuckooshrike	Campephagidae		nan	nan	nan	nan	nan	B10K		
4889	Lalage leucomela	karu	Varied Triller	Campephagidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4894	Lalage melanoptera		Black-headed Cuckooshrike	Campephagidae		nan	nan	nan	nan	nan	B10K		
4895	Lalage melaschistos		Black-winged Cuckooshrike	Campephagidae		nan	nan	nan	nan	nan	B10K		
