	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
7356	Picumnus fuscus		Rusty-necked Piculet	Picidae							B10K		
7357	Picumnus granadensis		Grayish Piculet	Picidae							B10K		
7360	Picumnus limae		Ochraceous Piculet	Picidae							B10K		
7383	Picus viridis	saundersi	Green Woodpecker	Picidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7386	Piezorina cinerea		Cinereous Finch	Thraupidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7392	Pinarornis plumosus		Boulder Chat	Muscicapidae							B10K		
7394	Pinicola enucleator	alascensis	Pine Grosbeak	Fringillidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7395	Pionites leucogaster	xanthomeria	White-bellied Parrot	Psittacidae	Phase Genus	B10K				sample_collected	B10K	B10K	
7406	Pipile cumanensis	cumanensis	Blue-throated Piping Guan	Cracidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7418	Pipraeidea melanonota	melanonota	Fawn-breasted Tanager	Thraupidae	Phase Genus						B10K	B10K	
7430	Piprites chloris		Wing-barred Piprites	Pipritidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
7431	Piprites chloris		Wing-barred Piprites	Pipritidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7432	Piprites griseiceps		Gray-headed Piprites	Pipritidae							B10K		
7433	Piprites pileata		Black-capped Piprites	Pipritidae							B10K		
7436	Piranga flava	macconnelli	Hepatic Tanager	Cardinalidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7459	Pitta erythrogaster	erythrogaster	Red-bellied Pitta	Pittidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7481	Pityriasis gymnocephala		Bristlehead	Pityriasidae							B10K		
7495	Platylophus galericulatus	galericulatus	Crested Jay	Corvidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7496	Platyrinchus cancrominus		Stub-tailed Spadebill	Platyrinchidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7497	Platyrinchus coronatus	gumia	Golden-crowned Spadebill	Platyrinchidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
