nOrder	ARK	Superorder	Family	Accession	VGP_accession	Class	SpeciesE	Genus	Species	long_list
Anura		Batrachia	Arthroleptidae		aLepCyn	Amphibia	Cinnamon tree frog	Leptopelis	cynnamomeus	VGP
Anura		Batrachia	Hylidae		aPleCra	Amphibia	-	Plectrohyla	crassa	VGP
Anura		Batrachia	Megophryidae		aLepPal	Amphibia	-	Leptobrachella	palmata	VGP
Anura		Batrachia	Arthroleptidae		aLepFen	Amphibia	-	Leptopelis	fenestratus	VGP
Anura		Batrachia	Bufonidae		aAteCoy	Amphibia	Faisanes Stubfoot Toad	Atelopus	coynei	VGP
Anura		Batrachia	Bufonidae		aMerLon	Amphibia	-	Mertensophryne	lonnbergi	VGP
Anura		Batrachia	Dicroglossidae		aAllBar	Amphibia	-	Allopaa	barmoachensis	VGP
Anura		Batrachia	Hylidae		aPleCya	Amphibia	-	Plectrohyla	cyanomma	VGP
Anura		Batrachia	Hylidae		aLitAlb	Amphibia	-	Litoria	albolabris	VGP
Anura		Batrachia	Microhylidae		aChoAmo	Amphibia	-	Choerophryne	amomani	VGP
Anura		Batrachia	Ranidae		aOdoInd	Amphibia	-	Odorrana	indeprensa	VGP
Anura		Batrachia	Strabomantidae		aPriSti	Amphibia	-	Pristimantis	stictus	VGP
Anura		Batrachia	Bufonidae		aAteCru	Amphibia	Rancho Grande Harlequin Frog	Atelopus	cruciger	VGP
Anura		Batrachia	Dendrobatidae		aAnoGua	Amphibia	-	Anomaloglossus	guanayensis	VGP
Anura		Batrachia	Strabomantidae		aPriHoo	Amphibia	Hoogmoed's Red-Eyed Landfrog; Ranita de Ojos Rojos de Hoogmoed	Pristimantis	hoogmoedi	VGP
Anura		Batrachia	Strabomantidae		aPriSti	Amphibia	-	Pristimantis	stipa	VGP
Anura		Batrachia	Bufonidae		aAteDim	Amphibia	-	Atelopus	dimorphus	VGP
Anura		Batrachia	Bufonidae		aMerMel	Amphibia	-	Mertensophryne	melanopleura	VGP
Anura		Batrachia	Ceratobatrachidae		aPlaPar	Amphibia	-	Platymantis	parkeri	VGP
Anura		Batrachia	Hemiphractidae		aGasWil	Amphibia	-	Gastrotheca	williamsoni	VGP
Anura		Batrachia	Hylidae		aPleDas	Amphibia	-	Plectrohyla	dasypus	VGP
Anura		Batrachia	Microhylidae		aChoBic	Amphibia	-	Choerophryne	bickfordi	VGP
Anura		Batrachia	Microhylidae		aMicMin	Amphibia	Dubois' frog, Tiny frog	Microhyla	minica	VGP
Apoda		Gymnophiona	Indotyphlidae		aSylGra	Amphibia	-	Sylvacaecilia	grandisonae	VGP
Anura		Batrachia	Bufonidae		aAteEbe	Amphibia	-	Atelopus	ebenoides	VGP
Anura		Batrachia	Hylidae		aPleEph	Amphibia	-	Plectrohyla	ephemera	VGP
Anura		Batrachia	Hylodidae		aCroBou	Amphibia	-	Crossodactylus	boulengeri	VGP
Anura		Batrachia	Hyperoliidae		aKasJoz	Amphibia	-	Kassina	jozani	VGP
Anura		Batrachia	Megophryidae		aLepPic	Amphibia	-	Leptobrachella	picta	VGP
