	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
10424	Zoothera margaretae		Solomons Thrush	Turdidae							B10K		
10425	Zoothera marginata		Dark-sided Thrush	Turdidae							B10K		
10426	Zoothera mollissima		Plain-backed Thrush	Turdidae							B10K		
10427	Zoothera monticola		Long-billed Thrush	Turdidae							B10K		
10428	Zoothera talaseae		Black-backed Thrush	Turdidae							B10K		
10430	Zosterops abyssinicus		Abyssinian White-eye	Zosteropidae							B10K		
10431	Zosterops albogularis		White-chested White-eye	Zosteropidae							B10K		
10432	Zosterops anomalus		Lemon-throated White-eye	Zosteropidae							B10K		
10433	Zosterops atricapilla		Black-capped White-eye	Zosteropidae							B10K		
10434	Zosterops atriceps		Cream-throated White-eye	Zosteropidae							B10K		
10436	Zosterops borbonicus		Réunion Grey White-eye	Zosteropidae		B10K	B10K	B10K	B10K	insdc_submitted	B10K		
10437	Zosterops brunneus		Fernando Po Speirops	Zosteropidae							B10K		
10438	Zosterops buruensis		Buru White-eye	Zosteropidae							B10K		
10439	Zosterops capensis		Cape White-eye	Zosteropidae							B10K		
10440	Zosterops ceylonensis		Sri Lanka White-eye	Zosteropidae							B10K		
10441	Zosterops chloris		Lemon-bellied White-eye	Zosteropidae							B10K		
10442	Zosterops chloronothos		Mauritius Olive White-eye	Zosteropidae							B10K		
10444	Zosterops citrinella		Ashy-bellied White-eye	Zosteropidae							B10K		
10445	Zosterops consobrinorum		Pale-bellied White-eye	Zosteropidae							B10K		
10446	Zosterops conspicillatus		Bridled White-eye	Zosteropidae							B10K		
10447	Zosterops erythropleurus		Chestnut-flanked White-eye	Zosteropidae							B10K		
10448	Zosterops everetti		Everett's White-eye	Zosteropidae							B10K		
10449	Zosterops explorator		Fiji White-eye	Zosteropidae							B10K		
10450	Zosterops feae		Sao Tome White-eye	Zosteropidae							B10K		
10451	Zosterops ficedulinus		Principe White-eye	Zosteropidae							B10K		
10452	Zosterops flavifrons		Vanuatu White-eye	Zosteropidae							B10K		
10453	Zosterops flavus		Javan White-eye	Zosteropidae							B10K		
10454	Zosterops fuscicapilla		Capped White-eye	Zosteropidae							B10K		
10455	Zosterops gibbsi		Vanikoro White-eye	Zosteropidae							B10K		
10456	Zosterops grayi		Pearl-bellied White-eye	Zosteropidae							B10K		
10457	Zosterops griseotinctus		Louisiade White-eye	Zosteropidae							B10K		
10458	Zosterops griseovirescens		Annobon White-eye	Zosteropidae							B10K		
10459	Zosterops hypolais		Yap White-eye	Zosteropidae							B10K		
10460	Zosterops hypoxanthus		Bismarck White-eye	Zosteropidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
10461	Zosterops inornatus		Large Lifou White-eye	Zosteropidae							B10K		
10462	Zosterops japonicus		Japanese White-eye	Zosteropidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10464	Zosterops kulambangrae		Solomon Islands White-eye	Zosteropidae							B10K		
10465	Zosterops lacertosus		Sanford's White-eye	Zosteropidae							B10K		
10466	Zosterops lateralis		Silver-eye	Zosteropidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
10467	Zosterops leucophaeus		Principe Speirops	Zosteropidae							B10K		
10468	Zosterops lugubris		Black-capped Speirops	Zosteropidae							B10K		
10469	Zosterops luteirostris		Gizo White-eye	Zosteropidae							B10K		
10470	Zosterops luteus		Canary White-eye	Zosteropidae							B10K		
10471	Zosterops maderaspatanus		Madagascar White-eye	Zosteropidae							B10K		
10472	Zosterops mauritianus		Mauritius Grey White-eye	Zosteropidae							B10K		
10474	Zosterops melanocephalus		Mt. Cameroon Speirops	Zosteropidae							B10K		
10475	Zosterops metcalfii		Yellow-throated White-eye	Zosteropidae							B10K		
10476	Zosterops meyeni		Lowland White-eye	Zosteropidae							B10K		
10477	Zosterops minor		Black-fronted White-eye	Zosteropidae							B10K		
10478	Zosterops minutus		Small Lifou White-eye	Zosteropidae							B10K		
10479	Zosterops modestus		Seychelles White-eye	Zosteropidae							B10K		
10480	Zosterops montanus		Mountain White-eye	Zosteropidae							B10K		
10481	Zosterops mouroniensis		Grande Comore White-eye	Zosteropidae							B10K		
10482	Zosterops murphyi		Hermit White-eye	Zosteropidae							B10K		
10484	Zosterops natalis		Christmas Island White-eye	Zosteropidae							B10K		
10487	Zosterops novaeguineae		New Guinea White-eye	Zosteropidae							B10K		
10488	Zosterops oleagineus		Yap Rukia	Zosteropidae							B10K		
10489	Zosterops olivaceus		Reunion White-eye	Zosteropidae							B10K		
10490	Zosterops pallidus		Orange River White-eye	Zosteropidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10491	Zosterops palpebrosus		Oriental White-eye	Zosteropidae							B10K		
10492	Zosterops poliogastrus		Broad-ringed White-eye	Zosteropidae							B10K		
10493	Zosterops rendovae		Dark-eyed White-eye	Zosteropidae							B10K		
10494	Zosterops rennellianus		Rennell Island White-eye	Zosteropidae							B10K		
10495	Zosterops rotensis		Rota White-eye	Zosteropidae							B10K		
10496	Zosterops salvadorii		Enggano White-eye	Zosteropidae							B10K		
10497	Zosterops samoensis		Samoan White-eye	Zosteropidae							B10K		
10498	Zosterops sanctaecrucis		Santa Cruz White-eye	Zosteropidae							B10K		
10499	Zosterops semiflavus		Marianne Island White-eye	Zosteropidae							B10K		
10500	Zosterops semperi		Citrine White-eye	Zosteropidae							B10K		
10501	Zosterops senegalensis		African Yellow White-eye	Zosteropidae							B10K		
10503	Zosterops splendidus		Ranongga White-eye	Zosteropidae							B10K		
10504	Zosterops stalkeri		Seram White-eye	Zosteropidae							B10K		
10505	Zosterops strenuus		Robust White-eye	Zosteropidae							B10K		
10506	Zosterops stresemanni		Malaita White-eye	Zosteropidae							B10K		
10507	Zosterops superciliosus		Bare-eyed White-eye	Zosteropidae							B10K		
10508	Zosterops tenuirostris		Slender-billed White-eye	Zosteropidae							B10K		
10509	Zosterops ugiensis		Grey-throated White-eye	Zosteropidae							B10K		
10510	Zosterops uropygialis		Golden-bellied White-eye	Zosteropidae							B10K		
10511	Zosterops vaughani		Pemba White-eye	Zosteropidae							B10K		
10512	Zosterops vellalavella		Banded White-eye	Zosteropidae							B10K		
10513	Zosterops xanthochroa		Green-backed White-eye	Zosteropidae							B10K		
10514	Zosterornis hypogrammicus		Palawan Striped Babbler	Zosteropidae							B10K		
10515	Zosterornis latistriatus		Panay Striped Babbler	Zosteropidae							B10K		
10516	Zosterornis nigrorum		Negros Striped Babbler	Zosteropidae							B10K		
10517	Zosterornis striatus		Luzon Striped Babbler	Zosteropidae							B10K		
10518	Zosterornis whiteheadi		Chestnut-faced Babbler	Zosteropidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10523	Anomalopteryx didiformis				Phase Genus						B10K	B10K	
10547	Columba larvata				Phase Genus						B10K	B10K	
10550	Cyanoderma chrysaea				Phase Genus						B10K	B10K	
1	Abrornis chloronotus		Lemon-rumped Warbler	Phylloscopidae							B10K		
2	Abrornis forresti		Forrest's Leaf Warbler	Phylloscopidae							B10K		
3	Abrornis humei		Hume's Leaf Warbler	Phylloscopidae		B10K	B10K	B10K		in_progress	B10K		
4	Abrornis inornata		Yellow-browed Warbler	Phylloscopidae		B10K	B10K	B10K	B10K	insdc_submitted	B10K		
5	Abrornis kansuensis		Gansu Leaf Warbler	Phylloscopidae							B10K		
6	Abrornis maculipennis		Ashy-throated Warbler	Phylloscopidae							B10K		
8	Abrornis proregulus		Pallas's Leaf Warbler	Phylloscopidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
11	Abrornis yunnanensis		Chinese Leaf Warbler	Phylloscopidae							B10K		
37	Acanthoptila nipalensis		Spiny Babbler	Leiothrichidae							B10K		
157	Actinodura sodangorum		Black-crowned Barwing	Leiothrichidae							B10K		
161	Actophilornis albinucha		Madagascar Jacana	Jacanidae							B10K		
178	Aegolius ridgwayi		Unspotted Saw-whet Owl	Strigidae							B10K		
179	Aegotheles affinis		Allied Owlet-nightjar	Aegothelidae							B10K		
186	Aegotheles salvadorii		Mountain Owlet-nightjar	Aegothelidae							B10K		
279	Agraphospiza rubescens		Blanford's Rosefinch	Fringillidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
285	Agropsar philippensis		Chestnut-cheeked Starling	Sturnidae							B10K		
297	Akialoa stejnegeri		Kauai Akialoa	Fringillidae							B10K		
311	Alaudala rufescens		Lesser Short-toed Lark	Alaudidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
338	Alectroenas nitidissimus		Mauritius Blue Pigeon	Columbidae							B10K		
339	Alectroenas pulcherrimus		Seychelles Blue Pigeon	Columbidae							B10K		
355	Alopecoenas rubescens		Marquesan Ground Dove	Columbidae							B10K		
358	Alopecoenas erythropterus		Polynesian Ground Dove	Columbidae							B10K		
380	Amaurocichla bocagii		Bocage's Longbill	Motacillidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
385	Amaurornis marginalis		Striped Crake	Rallidae							B10K		
390	Amaurospiza concolor		Blue Seedeater	Cardinalidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
