institutionCode	otherCatalogNumbers	preservative	phylum	class	order	family	genus	specificEpithet	year	sequencing_status	sample_collected	sample_collected_by
NHMUK	NHMUK:ecatalogue:9413264	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Cerambycidae	Pogonocherus	hispidus	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9823998	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Dicaelotus	pumilus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9264520	Liquid Nitrogen	Arthropoda	Diplopoda		Julidae	Cylindroiulus	punctatus	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9387978	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Cetonia	aurata	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9968219	Dry frozen (-80°C)	Arthropoda	Chilopoda	Lithobiomorpha	Lithobiidae	Lithobius	forficatus		sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9422576	70% ethanol	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	adianta	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9473941	80% ethanol	Echinodermata	Echinoidea	Spatangoida	Loveniidae	Echinocardium		2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9413313	Dry frozen (-80°C)		Insecta	Lepidoptera	Geometridae	Horisme	vitalbata	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9474038	100% ethanol	Bryozoa	Gymnolaemata	Cheilostomatida	Candidae	Scrupocellaria	scruposa	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9172788	Dry frozen (-200°C)	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Kageronia	fuscogrisea	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9413246	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Curculionidae	Mecinus	pascuorum	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9968241	Dry frozen (-80°C)	Arthropoda	Insecta	Diptera	Acroceridae	Acrocera	orbiculus		sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9413284	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Andrenidae	Andrena	marginata	2021	sample_collected	DTOL	NHM
