NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status_illumina	synonym	sequencing_status_pacbio	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_open	published
1979898	Nanhermannia	comitalis	Nanhermanniidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
66595	Nanhermannia		Nanhermanniidae		in_assembly	cf. coronata		METAINVERT			METAINVERT	METAINVERT	METAINVERT		
66595	Nanhermannia	elegantula	Nanhermanniidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
198291	Nanhermannia	nana	Nanhermanniidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
198293	Nothrus	palustris	Nothridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
66602	Nothrus	silvestris	Nothridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
198298	Oribatella	quadricornuta	Oribatellidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1979943	Pantelozetes	paolii	Oribellidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
708370	Pergalumna	nervosa	Galumnidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229740	Phthiracarus	crinitus	Phthiracaridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229740	Phthiracarus	laevigatus	Phthiracaridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1720615	Punctoribates	punctum	Punctoribatidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1250640	Quadroppia	maritalis	Quadroppiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1979935	Scheloribates	initialis	Scheloribatidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1979937	Scheloribates	latipes	Scheloribatidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
52000	Steganacarus	magnus	Steganacaridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
198303	Tectocepheus	sarekensis	Tectocepheidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229869	Tectocepheus	velatus	Tectocepheidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1251916	Zygoribatula	exilis	Oribatulidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
244970	Allopauropus	danicus	Pauropodidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1288507	Symphylella	vulgaris	Scolopendrellidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
947160	Isohypsibius	dastychi	Isohypsibiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
