	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	other_priority	sample_collected
484	Hemiptera	Asterolecaniidae	Asterodiaspis quercicola		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
486	Hemiptera	Berytidae	Neides tipularius		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
488	Hemiptera	Calophyidae	Calophya rhois		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
490	Hemiptera	Ceratocombidae	Ceratocombus coleoptratus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
492	Hemiptera	Cercopidae	Cercopis vulnerata		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
494	Hemiptera	Cicadellidae	Macrosteles quadripunctulatus	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
495	Hemiptera	Cicadellidae	Ledra aurita	Availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
496	Hemiptera	Cicadidae	Cicadetta montana		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
498	Hemiptera	Cimicidae	Cimex columbarius		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
500	Hemiptera	Cixiidae	Tachycixius pilosus		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
502	Hemiptera	Coccidae	Coccus hesperidum		COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
504	Hemiptera	Coreidae	Coreus marginatus		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
506	Hemiptera	Corixidae	Corixa punctata		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
508	Hemiptera	Cydnidae	Tritomegas sexmaculatus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
510	Hemiptera	Delphacidae	Eurysanoides douglasi		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
512	Hemiptera	Diaspididae	Chionaspis salicis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
514	Hemiptera	Eriococcidae	Acanthococcus devoniensis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
516	Hemiptera	Gerridae	Gerris lacustris		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
518	Hemiptera	Hebridae	Hebrus ruficeps		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
520	Hemiptera	Homotomidae	Homotoma ficus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
522	Hemiptera	Hydrometridae	Hydrometra gracilenta		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
524	Hemiptera	Issidae	Issus coleoptratus		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
526	Hemiptera	Leptopodidae	Leptopus marmoratus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
528	Hemiptera	Liviidae	Livia juncorum		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
530	Hemiptera	Lygaeidae	Kleidocerys resedae		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
532	Hemiptera	Margarodidae	Icerya purchasi		COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
534	Hemiptera	Membracidae	Centrotus cornutus	Community survey	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
535	Hemiptera	Membracidae	Gargara genistae	Dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
536	Hemiptera	Mesoveliidae	Mesovelia furcata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
538	Hemiptera	Microphysidae	Loricula elegantula		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
540	Hemiptera	Miridae	Lygus pratensis		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
542	Hemiptera	Nabidae	Nabis ferus		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
544	Hemiptera	Naucoridae	Naucoris maculatus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
546	Hemiptera	Nepidae	Nepa cinerea		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
